topic,cite_key,title,year,venue,url,first_citation_location,first_citation_section
Related surveys and background,kotary2021end,End-to-end constrained optimization learning: A survey,2021,arXiv preprint arXiv:2103.16378,https://arxiv.org/pdf/2103.16378,Sections/1.Intro.tex:26,Related Surveys and Our Contributions
Related surveys and background,amos2022tutorial,Tutorial on amortized optimization for learning to optimize over continuous domains,2022,arXiv preprint arXiv:2202.00665,https://arxiv.org/pdf/2202.00665,Sections/1.Intro.tex:26,Related Surveys and Our Contributions
Related surveys and background,mandi2024decision,"Decision-focused learning: Foundations, state of the art, benchmark and future opportunities",2024,Journal of Artificial Intelligence Research,,Sections/1.Intro.tex:28,Related Surveys and Our Contributions
Related surveys and background,sadana2025survey,A survey of contextual optimization methods for decision-making under uncertainty,2025,European Journal of Operational Research,,Sections/1.Intro.tex:28,Related Surveys and Our Contributions
Related surveys and background,vanhentenryck2025trustworthy,Trustworthy optimization learning: a brief overview,2025,Mathematical Optimization for Machine Learning: Proceedings of the MATH+ Thematic Einstein Semester 2023,https://doi.org/10.1515/9783111376776-009,Sections/4.Discussion.tex:7,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: provable guarantees and verification,cao2026scpo,Constrained Policy Optimization via Sampling-Based Weight-Space Projection,2026,arXiv preprint arXiv:2512.13788,https://arxiv.org/pdf/2512.13788,Sections/4.Discussion.tex:8,A Unifying View of Hard-Constraint Methods
Applications: optimal power flow and power systems,chen2026hardconstrained,A hard-constrained NN learning framework for rapidly restoring AC-OPF from DC-OPF,2026,arXiv preprint arXiv:2602.06255,https://arxiv.org/pdf/2602.06255,Sections/4.Discussion.tex:31,Constraint Geometry Is the Main Difficulty Driver
Hard-constrained prediction: structured feasibility layers,goertzen2026hardnetpp,HardNet++: Nonlinear Constraint Enforcement in Neural Networks,2026,arXiv preprint arXiv:2604.19669,https://arxiv.org/pdf/2604.19669,Sections/4.Discussion.tex:8,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: structured feasibility layers,tang2026lminet,LMI-Net: Linear Matrix Inequality-Constrained Neural Networks via Differentiable Projection Layers,2026,arXiv preprint arXiv:2604.05374,https://arxiv.org/pdf/2604.05374,Sections/4.Discussion.tex:8,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: structured feasibility layers,zhao2026caffnet,CAffNet: Hard Constraint-Affine Neural Networks,2026,arXiv preprint arXiv:2605.24437,https://arxiv.org/pdf/2605.24437,Sections/Part1.tex:192,Explicit Feasibility Layers
Other cited work,chen2026maxcut,Solving Max-Cut to Global Optimality via Feasibility-Preserving Graph Neural Networks,2026,arXiv preprint arXiv:2605.07113,https://arxiv.org/pdf/2605.07113,Sections/4.Discussion.tex:31,Constraint Geometry Is the Main Difficulty Driver
Preliminaries: neural networks and model foundations,hornik1989multilayer,Multilayer feedforward networks are universal approximators,1989,Neural networks,,Sections/2.Preliminary.tex:13,Neural Networks
Preliminaries: neural networks and model foundations,schafer2006recurrent,Recurrent neural networks are universal approximators,2006,International conference on artificial neural networks,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,yun2019transformers,Are transformers universal approximators of sequence-to-sequence functions?,2019,arXiv preprint arXiv:1912.10077,https://arxiv.org/pdf/1912.10077,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,kidger2020universal,Universal approximation with deep narrow networks,2020,Conference on learning theory,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,zhou2020universality,Universality of deep convolutional neural networks,2020,Applied and computational harmonic analysis,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,wagstaff2022universal,Universal approximation of functions on sets,2022,Journal of Machine Learning Research,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,kratsios2022universal,Universal approximation theorems for differentiable geometric deep learning,2022,Journal of Machine Learning Research,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,leshno1993multilayer,Multilayer feedforward networks with a nonpolynomial activation function can approximate any function,1993,Neural networks,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: neural networks and model foundations,liu2024characterizing,Characterizing ResNet’s Universal Approximation Capability,2024,Proceedings of the Forty-first International Conference on Machine Learning,,Sections/2.Preliminary.tex:20,Neural Networks
Preliminaries: generative/discriminative model foundations,bishop2006pattern,Pattern recognition and machine learning,2006,Springer,,Sections/2.Preliminary.tex:27,Discriminative and Generative Models
Preliminaries: neural networks and model foundations,krizhevsky2017imagenet,ImageNet classification with deep convolutional neural networks,2017,Communications of the ACM,,Sections/2.Preliminary.tex:27,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,koller2009probabilistic,Probabilistic graphical models: principles and techniques,2009,MIT press,,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,kingma2013auto,Auto-encoding variational bayes,2013,arXiv preprint arXiv:1312.6114,https://arxiv.org/pdf/1312.6114,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,goodfellow2014generative,Generative adversarial nets,2014,Advances in neural information processing systems,,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,rezende2015variational,Variational inference with normalizing flows,2015,International conference on machine learning,,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,ho2020denoising,Denoising diffusion probabilistic models,2020,Advances in Neural Information Processing Systems,,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,song2020score,Score-based generative modeling through stochastic differential equations,2020,arXiv preprint arXiv:2011.13456,https://arxiv.org/pdf/2011.13456,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,lipman2022flow,Flow matching for generative modeling,2022,arXiv preprint arXiv:2210.02747,https://arxiv.org/pdf/2210.02747,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: generative/discriminative model foundations,liu2022flow,Flow straight and fast: Learning to generate and transfer data with rectified flow,2022,arXiv preprint arXiv:2209.03003,https://arxiv.org/pdf/2209.03003,Sections/2.Preliminary.tex:29,Discriminative and Generative Models
Preliminaries: constraint classes and optimization theory,boyd2004convex,Convex optimization,2004,Cambridge university press,,Sections/2.Preliminary.tex:40,Constraint Settings
Other cited work,van2025optimization,Optimization learning,2025,arXiv preprint arXiv:2501.03443,https://arxiv.org/pdf/2501.03443,Sections/3.Application.tex:28,AI for Optimization
Applications: optimal power flow and power systems,hasan2020survey,A survey on applications of machine learning for optimal power flow,2020,2020 IEEE Texas Power and Energy Conference (TPEC),https://doi.org/10.1109/TPEC48276.2020.9042547,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,van2021machine,Machine learning for optimal power flows,2021,Tutorials in Operations Research: Emerging Optimization Methods and Modeling Techniques with Applications,https://doi.org/10.1287/educ.2021.0234,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,jiang2024advancements,Advancements and future directions in the application of machine learning to AC optimal power flow: A critical review,2024,Energies,,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Hard-constrained prediction: penalty/adversarial training,pan2018deepopf,Deepopf: A deep neural network approach for security-constrained dc optimal power flow,2019,"2019 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Hard-constrained prediction: penalty/adversarial training,pan2020deepopf,Deepopf: A deep neural network approach for security-constrained dc optimal power flow,2020,IEEE Transactions on Power Systems,,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Hard-constrained prediction: structured feasibility layers,pan2022deepopf,DeepOPF: A feasibility-optimized deep neural network approach for AC optimal power flow problems,2022,IEEE Systems Journal,,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,huang2024unsupervised,"Unsupervised Learning for Solving AC Optimal Power Flows: Design, Analysis, and Experiment",2024,IEEE Transactions on Power Systems,,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,wang2022fast,Fast optimal power flow with guarantees via an unsupervised generative model,2022,IEEE Transactions on Power Systems,,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,hoseinpour2025constrained,Constrained diffusion models for synthesizing representative power flow datasets,2025,arXiv preprint arXiv:2506.11281,https://arxiv.org/pdf/2506.11281,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,hoseinpour2025diffopf,DiffOPF: Diffusion Solver for Optimal Power Flow,2025,arXiv preprint arXiv:2510.14075,https://arxiv.org/pdf/2510.14075,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,li5854385towards,Towards Trustworthy Learning for Optimal Power Flow: A Physics-informed Diffusion Model,2025,SSRN Electronic Journal,https://ssrn.com/abstract=5854385,Sections/3.Application.tex:32,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,babiker2025opf,Optimal Power Flow: A Review of State-of-the-Art Techniques and Future Perspectives,2025,IEEE Access,https://doi.org/10.1109/ACCESS.2025.3556168,Sections/3.Application.tex:21,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,kim2022projectionaware,Projection-aware Deep Neural Network for DC Optimal Power Flow Without Constraint Violations,2022,"2022 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",https://doi.org/10.1109/SmartGridComm52983.2022.9961047,Sections/3.Application.tex:21,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,han2024frmnet,FRMNet: A Feasibility Restoration Mapping Deep Neural Network for AC Optimal Power Flow,2024,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2024.3354733,Sections/3.Application.tex:21,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,han2024equality,Equality-embedded augmented Lagrangian neural network for DC optimal power flow,2024,IET Renewable Power Generation,https://doi.org/10.1049/rpg2.13048,Sections/3.Application.tex:21,Optimal Power Flow (OPF)
Applications: optimal power flow and power systems,liang2025chanceopf,Solving Chance-Constrained AC-OPF Problem by Neural Network with Bisection-based Projection,2025,The 16th ACM International Conference on Future and Sustainable Energy Systems,https://doi.org/10.1145/3679240.3734656,Sections/3.Application.tex:21,Optimal Power Flow (OPF)
Applications: trajectory optimization and safe control,liu2025guideflow,GuideFlow: Constraint-guided flow matching for planning in end-to-end autonomous driving,2026,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_GuideFlow_Constraint-Guided_Flow_Matching_for_Planning_in_End-to-End_Autonomous_Driving_CVPR_2026_paper.pdf,Sections/3.Application.tex:27,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,yang2025uniconflow,UniConFlow: A Unified Constrained Flow-Matching Framework for Certified Motion Planning,2025,arXiv preprint arXiv:2506.02955,https://arxiv.org/pdf/2506.02955,Sections/3.Application.tex:29,Trajectory Optimization and Motion Planning
Constrained generative models: training and fine-tuning,tauberschmidt2025physics,Physics-Constrained Fine-Tuning of Flow-Matching Models for Generation and Inverse Problems,2025,arXiv preprint arXiv:2508.09156,https://arxiv.org/pdf/2508.09156,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Constrained generative models: guided generation and correction,ma2025constraint,Constraint-Aware Diffusion Guidance for Robotics: Real-Time Obstacle Avoidance for Autonomous Racing,2025,arXiv preprint arXiv:2505.13131,https://arxiv.org/pdf/2505.13131,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,liang2025discrete,Discrete-guided diffusion for scalable and safe multi-robot motion planning,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://ojs.aaai.org/index.php/AAAI/article/download/39512/43473,Sections/3.Application.tex:27,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,liang2025simultaneous,Simultaneous multi-robot motion planning with projected diffusion models,2025,arXiv preprint arXiv:2502.03607,https://arxiv.org/pdf/2502.03607,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,li2025aligning,Aligning diffusion model with problem constraints for trajectory optimization,2025,arXiv preprint arXiv:2504.00342,https://arxiv.org/pdf/2504.00342,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,kurtz2025equality,Equality constrained diffusion for direct trajectory optimization,2025,2025 American Control Conference (ACC),,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,jung2025joint,Joint Model-based Model-free Diffusion for Planning with Constraints,2025,arXiv preprint arXiv:2509.08775,https://arxiv.org/pdf/2509.08775,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,romer2024diffusion,Diffusion predictive control with constraints,2024,arXiv preprint arXiv:2412.09342,https://arxiv.org/pdf/2412.09342,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Applications: trajectory optimization and safe control,zhang2025constrained,Constrained diffusers for safe planning and control,2025,arXiv preprint arXiv:2506.12544,https://arxiv.org/pdf/2506.12544,Sections/3.Application.tex:43,Trajectory Optimization and Motion Planning
Constrained generative models: reflected or constrained-domain sampling,fishman2023diffusion,Diffusion models for constrained domains,2023,arXiv preprint arXiv:2304.05364,https://arxiv.org/pdf/2304.05364,Sections/3.Application.tex:57,Physics-Constrained Learning and Generation
Constrained generative models: reflected or constrained-domain sampling,lou2023reflected,Reflected diffusion models,2023,International Conference on Machine Learning,,Sections/Part2.tex:110,Reflected Sampling
Constrained generative models: reflected or constrained-domain sampling,deng2024reflected,Reflected Schrodinger Bridge for Constrained Generative Modeling,2024,arXiv preprint arXiv:2401.03228,https://arxiv.org/pdf/2401.03228,Sections/Part2.tex:110,Reflected Sampling
Preliminaries: generative/discriminative model foundations,xie2024reflected,Reflected Flow Matching,2024,arXiv preprint arXiv:2405.16577,https://arxiv.org/pdf/2405.16577,Sections/3.Application.tex:57,Physics-Constrained Learning and Generation
Applications: physics-constrained learning and generation,abramson2024accurate,Accurate structure prediction of biomolecular interactions with AlphaFold 3,2024,Nature,,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Applications: physics-constrained learning and generation,zeni2025generative,A generative model for inorganic materials design,2025,Nature,,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Constrained generative models: manifold and geometric modeling,yim2023se,SE (3) diffusion model with application to protein backbone generation,2023,arXiv preprint arXiv:2302.02277,https://arxiv.org/pdf/2302.02277,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Preliminaries: generative/discriminative model foundations,miller2024flowmm,Flowmm: Generating materials with riemannian flow matching,2024,arXiv preprint arXiv:2406.04713,https://arxiv.org/pdf/2406.04713,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Constrained generative models: manifold and geometric modeling,huang2022riemannian,Riemannian diffusion models,2022,Advances in Neural Information Processing Systems,,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Preliminaries: generative/discriminative model foundations,de2022riemannian,Riemannian score-based generative modelling,2022,Advances in neural information processing systems,,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Constrained generative models: manifold and geometric modeling,lou2023scaling,Scaling riemannian diffusion models,2023,Advances in Neural Information Processing Systems,,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Constrained generative models: manifold and geometric modeling,thornton2022riemannian,Riemannian diffusion Schrodinger bridge,2022,arXiv preprint arXiv:2207.03024,https://arxiv.org/pdf/2207.03024,Sections/Part2.tex:128,Manifold Modeling
Preliminaries: generative/discriminative model foundations,chen2024flow,Flow Matching on General Geometries,2024,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=g7ohDlTITL,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Preliminaries: generative/discriminative model foundations,kapusniak2024metric,Metric flow matching for smooth interpolations on the data manifold,2024,Advances in Neural Information Processing Systems,,Sections/3.Application.tex:68,"Molecule, Material, and Protein Generation"
Hard-constrained prediction: Lagrangian and primal-dual training,chamon2022constrained,Constrained learning with non-convex losses,2022,IEEE Transactions on Information Theory,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: structured feasibility layers,amos2017optnet,Optnet: Differentiable optimization as a layer in neural networks,2017,International Conference on Machine Learning,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Preliminaries: constraint classes and optimization theory,agrawal2019differentiable,Differentiable convex optimization layers,2019,Advances in neural information processing systems,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: structured feasibility layers,chen2021enforcing,Enforcing policy feasibility constraints through differentiable projection for energy optimization,2021,Proceedings of the Twelfth ACM International Conference on Future Energy Systems,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Preliminaries: constraint classes and optimization theory,mhammedi2022efficient,Efficient projection-free online convex optimization with membership oracle,2022,Conference on Learning Theory,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: structured feasibility layers,tordesillas2023rayen,RAYEN: Imposition of Hard Convex Constraints on Neural Networks,2023,arXiv preprint arXiv:2307.08336,https://arxiv.org/pdf/2307.08336,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: structured feasibility layers,tabas2022safe,Safe and efficient model predictive control using neural networks: An interior point approach,2022,arXiv preprint arXiv:2203.12196,https://arxiv.org/pdf/2203.12196,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: post-processing and projection,liang2023hp,Low complexity homeomorphic projection to ensure neural-network Solution feasibility for optimization over (non-) convex set,2023,Proceedings of the 40th International Conference on Machine Learning,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: post-processing and projection,liang2024hp,Homeomorphic projection to ensure neural-network solution feasibility for constrained optimization,2024,Journal of Machine Learning Research,,Sections/4.Discussion.tex:13,A Unifying View of Hard-Constraint Methods
Hard-constrained prediction: Lagrangian and primal-dual training,park2022self,Self-supervised primal-dual learning for constrained optimization,2023,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/4.Discussion.tex:21,Feasibility--Quality--Efficiency Trade-off
Preliminaries: constraint classes and optimization theory,diamond2016cvxpy,CVXPY: A Python-embedded modeling language for convex optimization,2016,The Journal of Machine Learning Research,,Sections/4.Discussion.tex:24,Feasibility--Quality--Efficiency Trade-off
Hard-constrained prediction: post-processing and projection,sambharya2024learning,Learning to warm-start fixed-point optimization algorithms,2024,Journal of Machine Learning Research,,Sections/4.Discussion.tex:24,Feasibility--Quality--Efficiency Trade-off
Hard-constrained prediction: structured feasibility layers,donti2021dc3,DC3: A learning method for optimization with hard constraints,2020,arXiv preprint arXiv:2104.12225,https://arxiv.org/pdf/2104.12225,Sections/4.Discussion.tex:27,Feasibility--Quality--Efficiency Trade-off
Hard-constrained prediction: Lagrangian and primal-dual training,tanneau2024dual,Dual lagrangian learning for conic optimization,2024,Advances in Neural Information Processing Systems,,Sections/4.Discussion.tex:27,Feasibility--Quality--Efficiency Trade-off
Hard-constrained prediction: structured feasibility layers,konstantinov2024imposing,Imposing Star-Shaped Hard Constraints on the Neural Network Output,2024,Mathematics,,Sections/4.Discussion.tex:27,Feasibility--Quality--Efficiency Trade-off
Hard-constrained prediction: structured feasibility layers,constante2025enforcing,Enforcing Hard Linear Constraints in Deep Learning Models with Decision Rules,2025,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=gjiCml2CNG,Sections/4.Discussion.tex:27,Feasibility--Quality--Efficiency Trade-off
Constrained generative models: guided generation and correction,christopher2024constrained,Constrained Synthesis with Projected Diffusion Models,2024,The Thirty-eighth Annual Conference on Neural Information Processing Systems,,Sections/Part2.tex:174,Guided Generation
Preliminaries: generative/discriminative model foundations,liang2025chance,Chance-constrained Flow Matching for High-Fidelity Constraint-aware Generation,2025,arXiv preprint arXiv:2509.25157,https://arxiv.org/pdf/2509.25157,Sections/4.Discussion.tex:30,Feasibility--Quality--Efficiency Trade-off
Constrained generative models: guided generation and correction,yeom2025softly,Softly Constrained Denoisers for Diffusion Models,2025,arXiv preprint arXiv:2512.14980,https://arxiv.org/pdf/2512.14980,Sections/4.Discussion.tex:30,Feasibility--Quality--Efficiency Trade-off
Constrained generative models: guided generation and correction,li2025hardflow,HardFlow: Hard-Constrained Sampling for Flow-Matching Models via Trajectory Optimization,2025,arXiv preprint arXiv:2511.08425,https://arxiv.org/pdf/2511.08425,Sections/4.Discussion.tex:30,Feasibility--Quality--Efficiency Trade-off
Constrained generative models: guided generation and correction,gao2026terminally,Terminally constrained flow-based generative models from an optimal control perspective,2026,arXiv preprint arXiv:2601.09474,https://arxiv.org/pdf/2601.09474,Sections/4.Discussion.tex:30,Feasibility--Quality--Efficiency Trade-off
Constrained generative models: feasible-set parameterization,feng2024neural,Neural Approximate Mirror Maps for Constrained Diffusion Models,2024,arXiv preprint arXiv:2406.12816,https://arxiv.org/pdf/2406.12816,Sections/Part2.tex:152,Constraint Parameterization
Preliminaries: generative/discriminative model foundations,li2025gauge,Gauge flow matching for efficient constrained generative modeling over general convex set,2025,"ICLR 2025 Workshop on Deep Generative Model in Machine Learning: Theory, Principle and Efficacy",,Sections/4.Discussion.tex:63,Practical Selection Guidance
Constrained generative models: feasible-set parameterization,liu2024mirror,Mirror diffusion models for constrained and watermarked generation,2024,Advances in Neural Information Processing Systems,,Sections/Part2.tex:152,Constraint Parameterization
Preliminaries: generative/discriminative model foundations,guan2025mirror,Mirror flow matching with heavy-tailed priors for generative modeling on convex domains,2025,arXiv preprint arXiv:2510.08929,https://arxiv.org/pdf/2510.08929,Sections/4.Discussion.tex:66,Practical Selection Guidance
Hard-constrained prediction: penalty/adversarial training,cheng2019end,End-to-end safe reinforcement learning through barrier functions for safety-critical continuous control tasks,2019,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/Part1.tex:50,Hard-Constrained Neural Network
Hard-constrained prediction: penalty/adversarial training,kervadec2022constrained,Constrained deep networks: Lagrangian optimization via log-barrier extensions,2022,2022 30th European Signal Processing Conference (EUSIPCO),,Sections/Part1.tex:50,Hard-Constrained Neural Network
Hard-constrained prediction: provable guarantees and verification,zhao2020deepopf+,DeepOPF+: A deep neural network approach for DC optimal power flow for ensuring feasibility,2020,"2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:52,Hard-Constrained Neural Network
Hard-constrained prediction: provable guarantees and verification,tao2024provable,Provable Editing of Deep Neural Networks using Parametric Linear Relaxation,2024,Advances in Neural Information Processing Systems,,Sections/Part1.tex:52,Hard-Constrained Neural Network
Hard-constrained prediction: post-processing and projection,diehl2019warm,Warm-starting AC optimal power flow with graph neural networks,2019,33rd Conference on Neural Information Processing Systems (NeurIPS 2019),,Sections/Part1.tex:55,Hard-Constrained Neural Network
Hard-constrained prediction: structured feasibility layers,li2023toward,"Toward Rapid, Optimal, and Feasible Power Dispatch through Generalized Neural Mapping",2023,arXiv preprint arXiv:2311.04838,https://arxiv.org/pdf/2311.04838,Sections/Part1.tex:63,Hard-Constrained Neural Network
Hard-constrained prediction: feasible-set parameterization,frerix2020homogeneous,Homogeneous linear inequality constraints for neural network activations,2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,Sections/Part1.tex:66,Hard-Constrained Neural Network
Preliminaries: neural networks and model foundations,kratsios2021universal,Universal Approximation Under Constraints is Possible with Transformers,2021,International Conference on Learning Representations,,Sections/Part1.tex:66,Hard-Constrained Neural Network
Hard-constrained prediction: penalty/adversarial training,zamzam2020learning,Learning optimal solutions for extremely fast AC optimal power flow,2020,"2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:92,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,fioretto2020predicting,Predicting ac optimal power flows: Combining deep learning and lagrangian dual methods,2020,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/Part1.tex:92,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,nellikkath2021physics,Physics-informed neural networks for minimising worst-case violations in dc optimal power flow,2021,"2021 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:94,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,nellikkath2021physicsac,Physics-Informed Neural Networks for AC Optimal Power Flow,2021,arXiv preprint arXiv:2110.02672,https://arxiv.org/pdf/2110.02672,Sections/Part1.tex:94,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,zhang2021convex,A convex neural network solver for dcopf with generalization guarantees,2021,IEEE Transactions on Control of Network Systems,,Sections/Part1.tex:94,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,nellikkath2022minimizing,Minimizing worst-case violations of neural networks,2022,arXiv preprint arXiv:2212.10930,https://arxiv.org/pdf/2212.10930,Sections/Part1.tex:94,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,nellikkath2023enriching,Enriching neural network training dataset to improve worst-case performance guarantees,2023,2023 IEEE Belgrade PowerTech,,Sections/Part1.tex:94,Soft-Penalty Training
Hard-constrained prediction: penalty/adversarial training,giraud2025neural,Neural Networks for AC Optimal Power Flow: Improving Worst-Case Guarantees during Training,2025,arXiv preprint arXiv:2510.23196,https://arxiv.org/pdf/2510.23196,Sections/Part1.tex:94,Soft-Penalty Training
