year,type,topic,cite_key,title,venue,url,first_citation_location
2019,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,pan2018deepopf,Deepopf: A deep neural network approach for security-constrained dc optimal power flow,"2019 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/3.Application.tex:32
2019,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,qin2019verification,Verification of non-linear specifications for neural networks,arXiv preprint arXiv:1902.09592,https://arxiv.org/pdf/1902.09592,Sections/Part1.tex:109
2020,Application methods,Applications: optimal power flow and power systems,hasan2020survey,A survey on applications of machine learning for optimal power flow,2020 IEEE Texas Power and Energy Conference (TPEC),,Sections/3.Application.tex:32
2020,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,donti2021dc3,DC3: A learning method for optimization with hard constraints,arXiv preprint arXiv:2104.12225,https://arxiv.org/pdf/2104.12225,Sections/4.Discussion.tex:27
2020,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,fazlyab2020safety,Safety verification and robustness analysis of neural networks via quadratic constraints and semidefinite programming,IEEE Transactions on Automatic Control,,Sections/Part1.tex:109
2020,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,fioretto2020predicting,Predicting ac optimal power flows: Combining deep learning and lagrangian dual methods,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/Part1.tex:92
2020,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,frerix2020homogeneous,Homogeneous linear inequality constraints for neural network activations,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,Sections/Part1.tex:66
2020,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,pan2020deepopf,Deepopf: A deep neural network approach for security-constrained dc optimal power flow,IEEE Transactions on Power Systems,,Sections/3.Application.tex:32
2020,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,venzke2020learning,Learning optimal power flow: Worst-case guarantees for neural networks,"2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:109
2020,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,venzke2020verification,Verification of neural network behaviour: Formal guarantees for power system applications,IEEE Transactions on Smart Grid,,Sections/Part1.tex:109
2020,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,zamzam2020learning,Learning optimal solutions for extremely fast AC optimal power flow,"2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:92
2020,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,zhao2020deepopf+,DeepOPF+: A deep neural network approach for DC optimal power flow for ensuring feasibility,"2020 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:52
2021,Application methods,Applications: optimal power flow and power systems,van2021machine,Machine learning for optimal power flows,Tutorials in Operations Research: Emerging Optimization Methods and Modeling Techniques with Applications,,Sections/3.Application.tex:32
2021,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,chen2021enforcing,Enforcing policy feasibility constraints through differentiable projection for energy optimization,Proceedings of the Twelfth ACM International Conference on Future Energy Systems,,Sections/4.Discussion.tex:13
2021,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,heaton2021feasibility,Feasibility-based fixed point networks,Fixed Point Theory and Algorithms for Sciences and Engineering,,Sections/Part1.tex:165
2021,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,nellikkath2021physics,Physics-informed neural networks for minimising worst-case violations in dc optimal power flow,"2021 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",,Sections/Part1.tex:94
2021,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,nellikkath2021physicsac,Physics-Informed Neural Networks for AC Optimal Power Flow,arXiv preprint arXiv:2110.02672,https://arxiv.org/pdf/2110.02672,Sections/Part1.tex:94
2021,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,sotoudeh2021provable,Provable repair of deep neural networks,Proceedings of the 42nd ACM SIGPLAN international conference on programming language design and implementation,,Sections/Part1.tex:113
2021,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,wang2021beta,Beta-CROWN: Efficient bound propagation with per-neuron split constraints for complete and incomplete neural network verification,Advances in Neural Information Processing Systems,,Sections/Part1.tex:109
2021,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,zhang2021convex,A convex neural network solver for dcopf with generalization guarantees,IEEE Transactions on Control of Network Systems,,Sections/Part1.tex:94
2021,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,zhao2021ensuring,Ensuring DNN solution feasibility for optimization problems with convex constraints and its application to DC optimal power flow problems,arXiv preprint arXiv:2112.08091,https://arxiv.org/pdf/2112.08091,Sections/Part1.tex:111
2021,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,zheng2021safe,Safe reinforcement learning of control-affine systems with vertex networks,Learning for Dynamics and Control,,Sections/Part1.tex:192
2021,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,lu2020neurologic,NeuroLogic Decoding: (Un)supervised Neural Text Generation with Predicate Logic Constraints,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics,https://arxiv.org/abs/2010.12884,Sections/Part2.tex:60
2022,Application methods,Applications: physics-constrained learning and generation,ramesh2022hierarchical,Hierarchical text-conditional image generation with clip latents,arXiv preprint arXiv:2204.06125,https://arxiv.org/pdf/2204.06125,Sections/Part2.tex:87
2022,Application methods,Applications: optimal power flow and power systems,wang2022fast,Fast optimal power flow with guarantees via an unsupervised generative model,IEEE Transactions on Power Systems,,Sections/3.Application.tex:32
2022,Application methods,Applications: optimal power flow and power systems,kim2022projectionaware,Projection-aware Deep Neural Network for DC Optimal Power Flow Without Constraint Violations,"2022 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids (SmartGridComm)",https://doi.org/10.1109/SmartGridComm52983.2022.9961047,Sections/3.Application.tex:21
2022,Constrained generative models,Constrained generative models: manifold and geometric modeling,huang2022riemannian,Riemannian diffusion models,Advances in Neural Information Processing Systems,,Sections/3.Application.tex:68
2022,Constrained generative models,Constrained generative models: manifold and geometric modeling,thornton2022riemannian,Riemannian diffusion Schrodinger bridge,arXiv preprint arXiv:2207.03024,https://arxiv.org/pdf/2207.03024,Sections/Part2.tex:128
2022,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,blondel2022efficient,Efficient and modular implicit differentiation,Advances in neural information processing systems,,Sections/Part1.tex:163
2022,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,chamon2022constrained,Constrained learning with non-convex losses,IEEE Transactions on Information Theory,,Sections/4.Discussion.tex:13
2022,Constrained generative models,Constrained generative models: guided generation and correction,chung2022improving,Improving diffusion models for inverse problems using manifold constraints,Advances in Neural Information Processing Systems,,Sections/Part2.tex:177
2022,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,heaton2022wasserstein,Wasserstein-Based Projections with Applications to Inverse Problems,SIAM Journal on Mathematics of Data Science,,Sections/Part1.tex:165
2022,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,kervadec2022constrained,Constrained deep networks: Lagrangian optimization via log-barrier extensions,2022 30th European Signal Processing Conference (EUSIPCO),,Sections/Part1.tex:50
2022,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,nellikkath2022minimizing,Minimizing worst-case violations of neural networks,arXiv preprint arXiv:2212.10930,https://arxiv.org/pdf/2212.10930,Sections/Part1.tex:94
2022,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,pan2022deepopf,DeepOPF: A feasibility-optimized deep neural network approach for AC optimal power flow problems,IEEE Systems Journal,,Sections/3.Application.tex:32
2022,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,sun2022alternating,Alternating differentiation for optimization layers,arXiv preprint arXiv:2210.01802,https://arxiv.org/pdf/2210.01802,Sections/Part1.tex:163
2022,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,tabas2022computationally,Computationally efficient safe reinforcement learning for power systems,2022 American Control Conference (ACC),,Sections/Part1.tex:201
2022,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,tabas2022safe,Safe and efficient model predictive control using neural networks: An interior point approach,arXiv preprint arXiv:2203.12196,https://arxiv.org/pdf/2203.12196,Sections/4.Discussion.tex:13
2022,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,ul2022learning,Learning neural networks under input-output specifications,2022 American Control Conference (ACC),,Sections/Part1.tex:111
2022,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,zhang2021learning,Learning to solve the AC optimal power flow via a lagrangian approach,arXiv preprint arXiv:2110.01653,https://arxiv.org/pdf/2110.01653,Sections/Part1.tex:105
2022,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,kumar2022gradient,Gradient-Based Constrained Sampling from Language Models,arXiv preprint arXiv:2205.12558,https://arxiv.org/abs/2205.12558,Sections/Part2.tex:60
2023,Application methods,Applications: physics-constrained learning and generation,betker2023improving,Improving image generation with better captions,Computer Science. https://cdn. openai. com/papers/dall-e-3. pdf,,Sections/Part2.tex:87
2023,Application methods,Applications: physics-constrained learning and generation,chi2023diffusion,Diffusion policy: Visuomotor policy learning via action diffusion,The International Journal of Robotics Research,,Sections/Part2.tex:87
2023,Application methods,Applications: trajectory optimization and safe control,ding2023reduced,Reduced Policy Optimization for Continuous Control with Hard Constraints,Thirty-seventh Conference on Neural Information Processing Systems,,Sections/Part1.tex:153
2023,Application methods,Applications: physics-constrained learning and generation,li2023t2t,T2t: From distribution learning in training to gradient search in testing for combinatorial optimization,Advances in Neural Information Processing Systems,,Sections/Part2.tex:87
2023,Application methods,Applications: physics-constrained learning and generation,song2023solving,Solving inverse problems with latent diffusion models via hard data consistency,arXiv preprint arXiv:2307.08123,https://arxiv.org/pdf/2307.08123,Sections/Part2.tex:39
2023,Application methods,Applications: physics-constrained learning and generation,sun2023difusco,DIFUSCO: Graph-based Diffusion Solvers for Combinatorial Optimization,arXiv preprint arXiv:2302.08224,https://arxiv.org/pdf/2302.08224,Sections/Part2.tex:87
2023,Constrained generative models,Constrained generative models: push-forward and normalizing-flow maps,brahmanage2023flowpg,FlowPG: Action-Constrained Policy Gradient with Normalizing Flows,Thirty-seventh Conference on Neural Information Processing Systems,https://openreview.net/forum?id=p1gzxzJ4Y5,Sections/Part2.tex:32
2023,Constrained generative models,Constrained generative models: training and fine-tuning,fan2023optimizing,Optimizing ddpm sampling with shortcut fine-tuning,arXiv preprint arXiv:2301.13362,https://arxiv.org/pdf/2301.13362,Sections/Part2.tex:43
2023,Constrained generative models,Constrained generative models: reflected or constrained-domain sampling,fishman2023diffusion,Diffusion models for constrained domains,arXiv preprint arXiv:2304.05364,https://arxiv.org/pdf/2304.05364,Sections/3.Application.tex:57
2023,Constrained generative models,Constrained generative models: guided generation and correction,liu2023learning,Learning Diffusion Bridges on Constrained Domains,The Eleventh International Conference on Learning Representations,https://openreview.net/forum?id=WH1yCa0TbB,Sections/Part2.tex:144
2023,Constrained generative models,Constrained generative models: autoregressive and sequence-level constraints,geng2023grammar,Grammar-Constrained Decoding for Structured NLP Tasks without Finetuning,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,https://arxiv.org/abs/2305.13971,Sections/Part2.tex:60
2023,Constrained generative models,Constrained generative models: manifold and geometric modeling,lou2023scaling,Scaling riemannian diffusion models,Advances in Neural Information Processing Systems,,Sections/3.Application.tex:68
2023,Constrained generative models,Constrained generative models: push-forward and explicit sample maps,song2023consistency,Consistency Models,International Conference on Machine Learning,,Sections/Part2.tex:38
2023,Constrained generative models,Constrained generative models: manifold and geometric modeling,urain2023se,Se (3)-diffusionfields: Learning smooth cost functions for joint grasp and motion optimization through diffusion,2023 IEEE international conference on robotics and automation (ICRA),,Sections/Part2.tex:121
2023,Constrained generative models,Constrained generative models: manifold and geometric modeling,yim2023se,SE (3) diffusion model with application to protein backbone generation,arXiv preprint arXiv:2302.02277,https://arxiv.org/pdf/2302.02277,Sections/3.Application.tex:68
2023,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,balestriero2023police,POLICE: Provably optimal linear constraint enforcement for deep neural networks,"ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,Sections/Part1.tex:111
2023,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,bolte2023one,One-step differentiation of iterative algorithms,Advances in Neural Information Processing Systems,,Sections/Part1.tex:163
2023,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,hounie2023resilient,Resilient constrained learning,Advances in Neural Information Processing Systems,,Sections/Part1.tex:101
2023,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,kim2023self,Self-supervised equality embedded deep lagrange dual for approximate constrained optimization,arXiv preprint arXiv:2306.06674,https://arxiv.org/pdf/2306.06674,Sections/Part1.tex:105
2023,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,konstantinov2023new,A new computationally simple approach for implementing neural networks with output hard constraints,Doklady Mathematics,,Sections/Part1.tex:176
2023,Hard-constrained prediction,Hard-constrained prediction: feasible-set parameterization,li2023learning,Learning to solve optimization problems with hard linear constraints,IEEE Access,,Sections/Part1.tex:201
2023,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,li2023toward,"Toward Rapid, Optimal, and Feasible Power Dispatch through Generalized Neural Mapping",arXiv preprint arXiv:2311.04838,https://arxiv.org/pdf/2311.04838,Sections/Part1.tex:63
2023,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,liang2023hp,Low complexity homeomorphic projection to ensure neural-network Solution feasibility for optimization over (non-) convex set,Proceedings of the 40th International Conference on Machine Learning,,Sections/4.Discussion.tex:13
2023,Constrained generative models,Constrained generative models: reflected or constrained-domain sampling,lou2023reflected,Reflected diffusion models,International Conference on Machine Learning,,Sections/Part2.tex:110
2023,Hard-constrained prediction,Hard-constrained prediction: penalty/adversarial training,nellikkath2023enriching,Enriching neural network training dataset to improve worst-case performance guarantees,2023 IEEE Belgrade PowerTech,,Sections/Part1.tex:94
2023,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,park2022self,Self-supervised primal-dual learning for constrained optimization,Proceedings of the AAAI Conference on Artificial Intelligence,,Sections/4.Discussion.tex:21
2023,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,sambharya2023end,End-to-end learning to warm-start for real-time quadratic optimization,Learning for Dynamics and Control Conference,,Sections/Part1.tex:125
2023,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,tao2023architecture,Architecture-preserving provable repair of deep neural networks,Proceedings of the ACM on Programming Languages,,Sections/Part1.tex:113
2023,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,tordesillas2023rayen,RAYEN: Imposition of Hard Convex Constraints on Neural Networks,arXiv preprint arXiv:2307.08336,https://arxiv.org/pdf/2307.08336,Sections/4.Discussion.tex:13
2023,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zhong2023neural,Neural Fields with Hard Constraints of Arbitrary Differential Order,Thirty-seventh Conference on Neural Information Processing Systems,https://openreview.net/forum?id=oO1IreC6Sd,Sections/Part1.tex:120
2024,Application methods,Applications: physics-constrained learning and generation,abramson2024accurate,Accurate structure prediction of biomolecular interactions with AlphaFold 3,Nature,,Sections/3.Application.tex:68
2024,Application methods,Applications: optimal power flow and power systems,huang2024unsupervised,"Unsupervised Learning for Solving AC Optimal Power Flows: Design, Analysis, and Experiment",IEEE Transactions on Power Systems,,Sections/3.Application.tex:32
2024,Application methods,Applications: optimal power flow and power systems,jiang2024advancements,Advancements and future directions in the application of machine learning to AC optimal power flow: A critical review,Energies,,Sections/3.Application.tex:32
2024,Application methods,Applications: optimal power flow and power systems,han2024frmnet,FRMNet: A Feasibility Restoration Mapping Deep Neural Network for AC Optimal Power Flow,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2024.3354733,Sections/3.Application.tex:21
2024,Application methods,Applications: optimal power flow and power systems,han2024equality,Equality-embedded augmented Lagrangian neural network for DC optimal power flow,IET Renewable Power Generation,https://doi.org/10.1049/rpg2.13048,Sections/3.Application.tex:21
2024,Application methods,Applications: physics-constrained learning and generation,liang2023generative,Generative Learning for Solving Non-Convex Problem with Multi-Valued Input-Solution Mapping,12th International Conference on Learning Representations (ICLR 2024),,Sections/Part2.tex:87
2024,Application methods,Applications: trajectory optimization and safe control,romer2024diffusion,Diffusion predictive control with constraints,arXiv preprint arXiv:2412.09342,https://arxiv.org/pdf/2412.09342,Sections/3.Application.tex:43
2024,Constrained generative models,Constrained generative models: guided generation and correction,cheng2024gradient,Gradient-free generation for hard-constrained systems,arXiv preprint arXiv:2412.01786,https://arxiv.org/pdf/2412.01786,Sections/Part2.tex:149
2024,Constrained generative models,Constrained generative models: reflected or constrained-domain sampling,deng2024reflected,Reflected Schrodinger Bridge for Constrained Generative Modeling,arXiv preprint arXiv:2401.03228,https://arxiv.org/pdf/2401.03228,Sections/Part2.tex:110
2024,Constrained generative models,Constrained generative models: training and fine-tuning,domingo2024adjoint,Adjoint matching: Fine-tuning flow and diffusion generative models with memoryless stochastic optimal control,arXiv preprint arXiv:2409.08861,https://arxiv.org/pdf/2409.08861,Sections/Part2.tex:160
2024,Constrained generative models,Constrained generative models: reflected or constrained-domain sampling,fishman2024metropolis,Metropolis sampling for constrained diffusion models,Advances in Neural Information Processing Systems,,Sections/Part2.tex:31
2024,Constrained generative models,Constrained generative models: guided generation and correction,huang2024constrained,Constrained Diffusion with Trust Sampling,The Thirty-eighth Annual Conference on Neural Information Processing Systems,https://openreview.net/forum?id=dJUb9XRoZI,Sections/Part2.tex:109
2024,Constrained generative models,Constrained generative models: reflected or constrained-domain sampling,kook2024gaussian,Gaussian cooling and dikin walks: The interior-point method for logconcave sampling,The Thirty Seventh Annual Conference on Learning Theory,,Sections/Part2.tex:106
2024,Constrained generative models,Constrained generative models: training and fine-tuning,li2024efficient,Efficient and Guaranteed-Safe Non-Convex Trajectory Optimization with Constrained Diffusion Model,arXiv preprint arXiv:2403.05571,https://arxiv.org/pdf/2403.05571,Sections/Part2.tex:38
2024,Constrained generative models,Constrained generative models: training and fine-tuning,uehara2024fine,Fine-tuning of continuous-time diffusion models as entropy-regularized control,arXiv preprint arXiv:2402.15194,https://arxiv.org/pdf/2402.15194,Sections/Part2.tex:160
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,bambade2024leveraging,Leveraging Augmented-Lagrangian Techniques for Differentiating over Infeasible Quadratic Programs in Machine Learning,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=YCPDFfmkFr,Sections/Part1.tex:130
2024,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,bouvier2024policed,POLICEd RL: Learning closed-loop robot control policies with provable satisfaction of hard constraints,arXiv preprint arXiv:2403.13297,https://arxiv.org/pdf/2403.13297,Sections/Part1.tex:111
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,chalapathi2024scaling,Scaling physics-informed hard constraints with mixture-of-experts,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=u3dX2CEIZb,Sections/Part1.tex:165
2024,Constrained generative models,Constrained generative models: guided generation and correction,christopher2024constrained,Constrained Synthesis with Projected Diffusion Models,The Thirty-eighth Annual Conference on Neural Information Processing Systems,,Sections/Part2.tex:174
2024,Constrained generative models,Constrained generative models: feasible-set parameterization,feng2024neural,Neural Approximate Mirror Maps for Constrained Diffusion Models,arXiv preprint arXiv:2406.12816,https://arxiv.org/pdf/2406.12816,Sections/Part2.tex:152
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,gallego2024constrained,Constrained optimization for machine learning: algorithms and applications,PhD thesis,https://hdl.handle.net/1866/33886,Sections/Part1.tex:101
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,elenter2024near,Near-Optimal Solutions of Constrained Learning Problems,The Twelfth International Conference on Learning Representations,https://openreview.net/forum?id=fDaLmkdSKU,Sections/Part1.tex:103
2024,Constrained generative models,Constrained generative models: training and fine-tuning,khalafi2024constrained,Constrained diffusion models via dual training,Advances in Neural Information Processing Systems,,Sections/Part2.tex:207
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,klamkin2024dual,Dual interior point optimization learning,arXiv preprint arXiv:2402.02596,https://arxiv.org/pdf/2402.02596,Sections/Part1.tex:176
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,konstantinov2024imposing,Imposing Star-Shaped Hard Constraints on the Neural Network Output,Mathematics,,Sections/4.Discussion.tex:27
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,kotary2024learning,Learning constrained optimization with deep augmented lagrangian methods,arXiv preprint arXiv:2403.03454,https://arxiv.org/pdf/2403.03454,Sections/Part1.tex:105
2024,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,liang2024hp,Homeomorphic projection to ensure neural-network solution feasibility for constrained optimization,Journal of Machine Learning Research,,Sections/4.Discussion.tex:13
2024,Constrained generative models,Constrained generative models: feasible-set parameterization,liu2024mirror,Mirror diffusion models for constrained and watermarked generation,Advances in Neural Information Processing Systems,,Sections/Part2.tex:152
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,park2024self,Self-supervised learning for large-scale preventive security constrained dc optimal power flow,IEEE Transactions on Power Systems,,Sections/Part1.tex:105
2024,Hard-constrained prediction,Hard-constrained prediction: post-processing and projection,sambharya2024learning,Learning to warm-start fixed-point optimization algorithms,Journal of Machine Learning Research,,Sections/4.Discussion.tex:24
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,tang2024learning,Learning to optimize for mixed-integer non-linear programming with feasibility guarantees,arXiv preprint arXiv:2410.11061,https://arxiv.org/pdf/2410.11061,Sections/Part1.tex:165
2024,Hard-constrained prediction,Hard-constrained prediction: Lagrangian and primal-dual training,tanneau2024dual,Dual lagrangian learning for conic optimization,Advances in Neural Information Processing Systems,,Sections/4.Discussion.tex:27
2024,Hard-constrained prediction,Hard-constrained prediction: provable guarantees and verification,tao2024provable,Provable Editing of Deep Neural Networks using Parametric Linear Relaxation,Advances in Neural Information Processing Systems,,Sections/Part1.tex:52
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zeng2024glinsat,GLinSAT: The general linear satisfiability neural network layer by accelerated gradient descent,Advances in Neural Information Processing Systems,,Sections/Part1.tex:165
2024,Hard-constrained prediction,Hard-constrained prediction: structured feasibility layers,zeng2024qcqp,QCQP-Net: Reliably Learning Feasible Alternating Current Optimal Power Flow Solutions Under Constraints,arXiv preprint arXiv:2401.06820,https://arxiv.org/pdf/2401.06820,Sections/Part1.tex:163
2025,Application methods,Applications: optimal power flow and power systems,hoseinpour2025constrained,Constrained diffusion models for synthesizing representative power flow datasets,arXiv preprint arXiv:2506.11281,https://arxiv.org/pdf/2506.11281,Sections/3.Application.tex:32
2025,Application methods,Applications: optimal power flow and power systems,hoseinpour2025diffopf,DiffOPF: Diffusion Solver for Optimal Power Flow,arXiv preprint arXiv:2510.14075,https://arxiv.org/pdf/2510.14075,Sections/3.Application.tex:32
2025,Application methods,Applications: optimal power flow and power systems,li5854385towards,Towards Trustworthy Learning for Optimal Power Flow: A Physics-informed Diffusion Model,Available at SSRN 5854385,https://ssrn.com/abstract=5854385,Sections/3.Application.tex:32
2025,Application methods,Applications: optimal power flow and power systems,liang2025chanceopf,Solving Chance-Constrained AC-OPF Problem by Neural Network with Bisection-based Projection,The 16th ACM International Conference on Future and Sustainable Energy Systems,https://doi.org/10.1145/3679240.3734656,Sections/3.Application.tex:21
2025,Application methods,Applications: trajectory optimization and safe control,jung2025joint,Joint Model-based Model-free Diffusion for Planning with Constraints,arXiv preprint arXiv:2509.08775,https://arxiv.org/pdf/2509.08775,Sections/3.Application.tex:43
2025,Constrained generative models,Constrained generative models: training and fine-tuning,khalafi2025composition,Composition and alignment of diffusion models using constrained learning,The Thirty-ninth Annual Conference on Neural Information Processing Systems,https://proceedings.neurips.cc/paper_files/paper/2025/file/1af991de2d4c4e679bcc5d9e23ac6bae-Paper-Conference.pdf,Sections/Part2.tex:130
2025,Application methods,Applications: trajectory optimization and safe control,kurtz2025equality,Equality constrained diffusion for direct trajectory optimization,2025 American Control Conference (ACC),,Sections/3.Application.tex:43
2025,Application methods,Applications: trajectory optimization and safe control,li2025aligning,Aligning diffusion model with problem constraints for trajectory optimization,arXiv preprint arXiv:2504.00342,https://arxiv.org/pdf/2504.00342,Sections/3.Application.tex:43
2024,Application methods,Applications: trajectory optimization and safe control,liang2024multiagent,Multi-Agent Path Finding in Continuous Spaces with Projected Diffusion Models,arXiv preprint arXiv:2412.17993,https://arxiv.org/pdf/2412.17993,Sections/3.Application.tex:27
2025,Application methods,Applications: trajectory optimization and safe control,liang2025simultaneous,Simultaneous multi-robot motion planning with projected diffusion models,arXiv preprint arXiv:2502.03607,https://arxiv.org/pdf/2502.03607,Sections/3.Application.tex:43
2025,Application methods,Applications: physics-constrained learning and generation,zeni2025generative,A generative model for inorganic materials design,Nature,,Sections/3.Application.tex:68
2025,Application methods,Applications: trajectory optimization and safe control,zhang2025constrained,Constrained diffusers for safe planning and control,arXiv preprint arXiv:2506.12544,https://arxiv.org/pdf/2506.12544,Sections/3.Application.tex:43
