cite_key,method_family,mechanism,constraint_form,guarantee_basis,inference_dependency,tradeoff
harder2023hard,hard-constrained prediction for physical super-resolution.,renormalizing constraint layer.,statistical/physical consistency constraints between low-resolution inputs and high-resolution outputs.,by-construction terminal renormalization layer.,constraint layer evaluation after the base neural model.,applies when the input-output relationship admits known aggregate/statistical constraints.
tanneau2024dual,dual conic optimization proxy.,dual-feasible completion.,linear and nonlinear conic optimization problems.,conic dual completion and projection.,dual proxy plus completion/projection formulas or layers.,provides certificates/bounds but must be paired with a primal proxy if a feasible primal decision is needed.
chen2021enforcing,differentiable projection policy layer.,PROF differentiable projection.,convex approximations of energy-system operational constraints.,projection onto the modeled convex set.,convex projection solve/layer.,"feasibility is with respect to approximate convex constraints, so model fidelity matters."
zeng2024qcqp,structured AC-OPF feasibility layer.,QCQP activation.,AC-OPF power-flow constraints formulated through a relaxed QCQP.,differentiable QCQP activation and constraint-violation loss; exact hard-feasibility scope should be checked against the theorem/algorithm section before final claims.,QCQP activation solve.,stronger AC structure handling adds a specialized nonconvex QCQP component.
wu2025constraint,correction/boundary-search framework.,constraint boundary wandering.,smooth equality and inequality constraints.,correction plus active-set-inspired boundary wandering; paper states convergence/theoretical guarantees for BWS.,trained network plus correction/boundary-wandering procedure.,additional correction/search steps improve feasibility-objective balance but add inference complexity.
nguyen2025fsnet,feasibility-seeking neural solver.,feasibility-seeking step.,"equality and inequality constraints, including convex and nonconvex cases covered experimentally.",feasibility-seeking optimization and stated boundedness/smoothness/PL-condition analysis.,iterative feasibility-seeking solve after neural prediction.,general feasibility handling requires unrolled iterative correction at training and inference.
zhu2025t,linear-constraint feasibility iteration.,T-SKM iterative post-processing.,linear equalities and inequalities transformed into inequality form.,SKM-type iterative feasibility theory and the paper's post-processing analysis.,iterative T-SKM post-processing layer.,targets linear constraints and introduces iterative inference cost.
zeng2024glinsat,general linear satisfiability layer.,GLinSAT accelerated linear satisfiability.,bounded and general linear constraints.,convex dual reformulation and accelerated gradient convergence.,accelerated gradient iterations.,general linear support is obtained through iterative optimization rather than a closed-form map.
rashwan2025enforcing,graph-output convex projection.,ProjNet CAD projection.,convex constraints over variable-size graph outputs.,CAD best-approximation convergence for the modeled convex sets.,iterative CAD projection.,exact projection gradients are replaced by a surrogate gradient for training efficiency.
grontas2025pinet,orthogonal projection layer.,PiNet orthogonal projection.,convex constraints.,orthogonal projection onto the convex feasible set.,operator-splitting projection solve.,feasible outputs require a projection solve; accuracy and speed depend on projection convergence.
lastrucci2025enforce,adaptive nonlinear equality projection.,ENFORCE AdaNP projection.,nonlinear equality constraints depending on inputs and outputs.,adaptive projection construction and stated Lipschitz/stability analysis.,adaptive projection module.,"focused on equality constraints, with computational complexity tied to the number of constraints."
chu2026snarenet,repair layer for hard constraints.,SnareNet repair layer.,"input-dependent constraints, including nonconvex cases in the paper's stated scope.",differentiable repair iterations and adaptive relaxation framework.,repair-layer iterations.,broader constraint handling depends on iterative repair precision and tolerance settings.
tang2024learning,L2O for mixed-integer nonlinear programs.,integer correction plus projection.,integer constraints plus continuous feasibility constraints in MINLPs.,correction-layer construction and projection convergence proof.,integer correction layers plus projection step.,general MINLP coverage requires correction/projection logic after neural prediction.
utkarsh2025end,probabilistic hard-constrained prediction.,ProbHardE2E DPPL.,"operational/physical constraints, including nonlinear constraints in the paper's stated scope.",differentiable probabilistic projection layer.,probabilistic projection layer.,projection-layer design must match the target constraints and forecasting distributional setup.
heaton2021feasibility,feasibility-based fixed-point network.,F-FPN nonexpansive fixed points.,feasibility constraints from inverse-problem measurement models.,nonexpansive operator/fixed-point formulation.,fixed-point iteration.,"feasibility is tied to the modeled projection operators, while recovery quality depends on learned regularization."
heaton2022wasserstein,learned projection for inverse problems.,Wasserstein-based projection.,data-manifold constraint/regularization.,Wasserstein projection learning analysis.,learned projection inside an iterative inverse-problem method.,"guarantees are for approximating the data-manifold projection, not arbitrary task constraints."
li2023toward,gauge-based feasible mapping for power dispatch.,LOOP-LC 2.0 generalized gauge map.,linear constraints in power dispatch.,gauge-map construction over the constrained domain.,closed-form/generalized gauge map evaluation.,depends on availability and numerical stability of the generalized gauge construction for the target linear domain.
konstantinov2023new,hard-constrained output layer.,computationally simple feasible mapping.,"convex constraints including linear, quadratic, equality, dynamic, and boundary-form constraints in the paper's stated scope.",by-construction feasible mapping layer.,additional constraint layer evaluation.,scope and computational complexity depend on the supported constraint types.
konstantinov2024imposing,star-shaped feasible mapping.,star-shaped ray marching.,star-shaped hard constraints.,ray visibility and differentiable boundary-search construction.,ray-marching boundary computation.,requires a valid star-shaped origin and boundary/ray-intersection routine.
constante2025enforcing,decision-rule hard linear constraint architecture.,safe-network decision rules.,input-dependent linear equalities and inequalities.,decision-rule feasible safe network and convex-combination construction.,feed-forward evaluation only.,guarantee is tied to tractable decision-rule formulations for the specified linear constraints.
klamkin2024dual,dual feasible linear-optimization proxy.,dual completion.,linear optimization dual constraints.,dual completion optimization and closed-form completion formulas for covered penalty classes.,dual proxy plus completion step.,provides dual certificates rather than direct primal feasibility; primal decisions still require a compatible primal method.
min2024hardnet,closed-form hard constraint enforcement layer for the HardNet-Aff setting.,HardNet-Aff enforcement layer.,"multiple input-dependent affine constraints, including linear inequalities with input-dependent bounds; the paper's broader HardNet-Cvx discussion is optimization-based rather than the closed-form HardNet-Aff layer.",closed-form HardNet-Aff enforcement layer and universal-approximation analysis.,feed-forward enforcement layer.,closed-form guarantees apply to the affine/linear HardNet-Aff scope; broader convex constraints require the paper's optimization-based HardNet-Cvx construction.
zhao2026caffnet,closed-form affine enforcement layer.,CAffNet / CAffine layer.,arbitrary-cardinality input-dependent affine inequality constraints.,closed-form construction and universal-approximation analysis under the paper's assumptions.,feed-forward affine enforcement layer.,scope remains affine; the method extends HardNet-Aff cardinality/rank limitations rather than handling general nonlinear constraints.
tang2026lminet,differentiable projection layer for LMI constraints.,LMI-Net.,parameterized linear matrix inequalities \(F_0(\xi)+\sum_i y_i F_i(\xi)\succeq 0\).,Douglas--Rachford convergence under the stated assumptions.,iterative splitting projection layer.,expands feasibility layers to semidefinite/LMI constraints but introduces splitting iterations and tolerance-dependent feasibility.
goertzen2026hardnetpp,unrolled local-linearization feasibility layer.,HardNet++.,nonlinear equality and inequality constraints with lower/upper bounds \(b_l(x)\le c_x(y)\le b_u(x)\).,convergence analysis for the iterative local-linearization procedure.,finite or converged iterative correction layer.,"handles broader nonlinear constraints than closed-form affine layers, but feasibility is convergence/tolerance-dependent and iteration cost must be reported."
zheng2021safe,vertex-coordinate safe policy.,Vertex Network.,action constraints derived from next-step safety in convex polytopes.,convex-combination representation of the safe action polytope.,vertex-weight prediction and convex combination.,requires tractable vertex representation of the relevant safe set.
mell2020safe,correct-by-construction constrained predictors.,safe predictor mixture.,input-output specifications organized into compatible constraint sets.,correct-by-construction constrained predictors and safe convex mixing.,constrained predictors plus mixture evaluation.,requires decomposing specifications into compatible sets and designing predictors for them.
karalias2025geometric,geometric constrained combinatorial optimization.,Caratheodory-style feasible decomposition.,discrete/combinatorial constraints such as cardinality and matroid-style feasible sets in examples.,convex-geometric decomposition over feasible polytope corners.,decomposition and rounding procedure.,requires access to geometric/decomposition routines for the target combinatorial constraint family.
kratsios2021universal,constrained universal approximation theory.,constrained probabilistic transformer.,"compact convex or nonconvex output constraint sets, plus soft constraint families in the second theorem.",constrained universal approximation theorem.,probabilistic transformer sampling/expectation.,primarily a representation theorem; deployment as a concrete feasibility layer requires an implementable construction for the target set.
tabas2022computationally,gauge-map safe-action parameterization.,gauge map from virtual action to safe action.,state and action safety constraints for linear system models with bounded disturbances.,"set-theoretic control, RCI polytope construction, and valid gauge-map parameterization of the safe-action set.",closed-form gauge-map evaluation.,"safety guarantee depends on the computed RCI, linear model assumptions, disturbance set, and validity of the gauge map for the safe-action set."
li2023learning,gauge-map hard linear constraint solver.,gauge map from unit ball.,hard linear constraints.,"reduction, gauge mapping, and reconstruction sequence.",gauge-map evaluation and dependent-variable recovery.,applies to hard linear constraints where the reduced feasible set and gauge function are available.
liu2025fast,homeomorphic projection-free optimization.,Hom-PGD.,"compact convex sets, with some nonconvex extensions in the paper's stated scope.",homeomorphic transformation and convergence-rate analysis.,homeomorphism evaluation during optimization iterations.,this is an optimization algorithm rather than a trained prediction layer; it needs a valid homeomorphism for the target set.
deng2025hop,homeomorphic polar L2O.,HoP polar homeomorphism.,star-convex hard constraints.,polar homeomorphism and boundary-distance construction.,polar homeomorphic map and boundary-distance calculation.,requires a valid polar center and boundary-distance routine; training can require reconnection strategies to avoid polar-coordinate stagnation.
schneider2026soft,smooth radial feasibility layer.,soft-radial projection.,constraints whose feasible set supports the radial interior map described by the paper.,by-construction radial interior map and full-rank-Jacobian analysis almost everywhere.,soft-radial layer evaluation.,"interior feasibility can trade off boundary reach, and applicability depends on a valid radial map."
chzhen2026improving,projection-analogous correction / amortized autoencoder projection.,autoencoder-based projection.,"complex operational constraints, including nonconvex examples in the paper.",amortized learned projection; constraint satisfaction should be empirically validated for the target problem.,"encoder, latent projection, and decoder.","much cheaper than solver-based correction, but accuracy depends on learned feasible-set representation."
li2026gauge,gauge-based constrained flow matching.,GFM extended gauge mapping.,"arbitrary compact convex sets, with extensions to star-convex and geodesic-convex sets.","bijective gauge construction, bounded distribution-approximation analysis, and stated nonconvex extensions.","gauge map, ball-domain sampler operations, and inverse map.",constraint coverage depends on a valid gauge/bijective construction for the target geometry.
jeon2026efficient,landing-based constrained diffusion.,landing mechanism.,nonconvex equality and inequality constraints.,landing mechanism in constrained stochastic dynamics.,landing-based constrained sampler.,feasibility and efficiency depend on the landing construction and the cost of constrained dynamics.
naderiparizi2025constrained,manually bridged constrained diffusion.,manually bridged diffusion.,bridge-form constraints that can be manually specified and combined.,mathematical validity of the manual-bridge construction and constraint-combination rules.,bridged diffusion sampler.,requires constraints to be expressible through the manual-bridge framework.
narasimhan2025constrained,constrained posterior sampling.,CPS posterior-mean projection.,"time-series hard constraints, including many simultaneous constraints in experiments.",projection step applied during posterior sampling; tolerance and projection quality matter.,projection after denoising updates.,repeated projection improves feasibility but adds sampling-time correction cost.
christopher2025constrained,constrained diffusion for protein design.,proximal ADMM constrained diffusion.,"bonding, stereochemical, geometric, motif, and pocket-design constraints in protein design.",proximal feasibility updates and ADMM decomposition in the generative process.,feasibility-update and ADMM correction steps during sampling.,domain-specific constraint handling increases sampling/correction complexity.
zampini2025trainingfree,training-free latent-space constrained stable diffusion.,latent proximal correction.,"arbitrary constraint sets in the paper's stated stable-diffusion framework, with convex-constraint guarantees discussed.",proximal Langevin correction and projection/surrogate constraint evaluation.,iterative latent correction during sampling; surrogate or simulator if constraints are not directly differentiable.,"training-free and compatible with stable diffusion, but correction quality depends on decoder gradients and constraint/surrogate fidelity."
huang2024constrained,trust-region constrained diffusion guidance.,trust sampling.,proxy-constraint functions used during diffusion inference.,trust-region/proxy-guidance heuristic; first-pass source does not support a hard pointwise guarantee.,multiple proxy-gradient steps and manifold trust checks during sampling.,"flexible and training-free, but guidance strength and trust criteria affect sample quality and feasibility."
lee2025local,manifold-aware diffusion planning.,LoMAP local projection.,trajectory feasibility as adherence to the data/manifold of valid offline trajectories.,local manifold approximation and projection; feasibility is data-manifold dependent.,"nearest-neighbor retrieval, local PCA, and projection at sampling steps.",training-free but adds retrieval/projection cost and depends on offline dataset coverage.
kim2026fastdips,diffusion-prior inverse-problem correction.,FAST-DIPS measurement correction.,measurement-space residual constraints for inverse problems.,hard residual projection plus local descent/backtracking analysis.,fixed-budget correction iterations using operator evaluations and autodiff primitives.,"efficient for inverse problems, but guarantees are local/per-step and tied to the measurement model and residual budget."
cardei2025constrained,constrained discrete diffusion.,CDD constrained discrete sampling.,sequence-level constraints and logic rules over discrete outputs.,sampling-time differentiable constraint optimization.,constrained discrete diffusion correction during sampling.,training-free constraint insertion adds sampling-time optimization and depends on the constraint optimizer.
christopher2026constraintaware,constraint-aware flow-matching training.,Constraint-Aware Flow Matching.,constraints handled by projection-based constrained sampling.,"training-sampling alignment plus projection-based inference; pointwise feasibility comes from the projection procedure, not the loss alone.",constrained sampler/projection at generation time.,improves alignment but requires training with the intended projection mechanism.
chung2022improving,manifold-constrained inverse-problem guidance.,manifold constraint correction.,measurement consistency and data-manifold constraints for inverse problems.,correction term analysis and empirical validation; not a standalone hard feasibility guarantee.,manifold correction during sampling.,"simple to attach, but feasibility depends on the base solver and correction quality."
gao2026terminally,terminally constrained flow guidance.,TOCFlow terminal optimal control.,terminal constraints/manifold constraints.,"optimal-control analysis; as penalty vanishes, the terminal law approaches a generalized Wasserstein projection onto the constraint manifold.",sampling-time control/guidance computation.,adds optimal-control guidance cost and relies on terminal constraint geometry.
jeon2025fast,landing-based constrained Langevin sampler.,OLLA constrained Langevin.,nonlinear equality and inequality constraints.,exponential convergence in 2-Wasserstein distance under stated regularity assumptions.,landing-based Langevin sampler.,rigorous guarantees require the paper's regularity assumptions and sampler discretization choices.
liang2025chanceopf,projection-analogous correction / bisection-based projection for chance-constrained OPF.,bisection-based projection.,chance constraints in AC-OPF with specified confidence level.,bisection-based projection and the paper's feasibility/optimality analysis.,projection phase after neural prediction.,"feasibility comes from the projection stage, and sampling/projection adds inference cost."
kim2025mpadnn,differentiable projection layer for multi-period DC-OPF.,projection-aware differentiable layer.,"DC-OPF constraints with power balance, generator limits, ramping limits, energy-storage dynamics, and line limits.",exact solution of the projection layer over the modeled feasible set and KKT-based differentiation assumptions.,differentiable projection solve.,strict feasibility for modeled linear constraints comes with projection-layer runtime and numerical differentiation cost; the scope is application-specific to multi-period DC-OPF.
pal2026disjunctivenet,differentiable convexified logical constraint layer.,DisjunctiveNet DNF projection.,"disjunctive constraints, logical rules, QF-LRA-style linear logic, and MILP-equivalent bounded rules.",DNF convex-hull LP formulation and exactness theorem.,LP projection layer.,DNF convexification can grow exponentially in interacting active rules; CNF relaxations are more scalable but weaker.
yang2026efficient,linearly constrained projection-layer training.,HS-Jacobian projection training.,linear constraints/polyhedral projection sets.,projection layer plus HS-Jacobian conservative-map analysis.,projection layer evaluation.,targets linear/polyhedral constraints and focuses on efficient backpropagation through nonsmooth projections.
chen2020theory,hard-constrained prediction / feasibility-layer background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part1 background or taxonomy support
cristian2023end,hard-constrained prediction / feasibility-layer background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part1 projection/optimization-learning background
huang2021differentiable,hard-constrained prediction / feasibility-layer background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part1 background or taxonomy support
lamperski2020projected,constrained generation / guided sampling background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
bubeck2015sampling,constrained generation / guided sampling background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
brosse2017sampling,constrained generation / guided sampling background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
sahoo2022backpropagation,differentiable optimization and combinatorial background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,"Use to support logical/discrete constraint discussion, not automatically a hard-feasibility method"
chen2018approximating,application background / safe control and MPC.,MPC approximation with projection.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Use as MPC/control background only
sotoudeh2021provable,network repair / verification background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Manual decision after skim
