cite_key,method_family,mechanism,constraint_form,guarantee_basis,inference_dependency,tradeoff
kim2026fastdips,diffusion-prior inverse-problem correction.,FAST-DIPS measurement correction.,measurement-space residual constraints for inverse problems.,hard residual projection plus local descent/backtracking analysis.,fixed-budget correction iterations using operator evaluations and autodiff primitives.,"efficient for inverse problems, but guarantees are local/per-step and tied to the measurement model and residual budget."
cardei2025constrained,constrained discrete diffusion.,CDD constrained discrete sampling.,sequence-level constraints and logic rules over discrete outputs.,sampling-time differentiable constraint optimization.,constrained discrete diffusion correction during sampling.,training-free constraint insertion adds sampling-time optimization and depends on the constraint optimizer.
chen2024flow,Riemannian flow matching.,Riemannian Flow Matching.,manifold/geometric support constraints.,manifold-valued flow construction.,geometry-aware flow sampler and geometric computations.,support modeling depends on the availability and cost of geometry-specific kernels or spectral computations.
cheng2024gradient,gradient-free constrained flow-matching sampling.,ECI sampling.,"hard constraints in systems where gradients are sparse or expensive, including PDE examples.",correction step in the ECI sampling loop.,ECI correction during each iterative sampling step.,avoids gradients/fine-tuning but adds correction stages and depends on the available constraint-correction routine.
christopher2026constraintaware,constraint-aware flow-matching training.,Constraint-Aware Flow Matching.,constraints handled by projection-based constrained sampling.,"training-sampling alignment plus projection-based inference; pointwise feasibility comes from the projection procedure, not the loss alone.",constrained sampler/projection at generation time.,improves alignment but requires training with the intended projection mechanism.
chung2022improving,manifold-constrained inverse-problem guidance.,manifold constraint correction.,measurement consistency and data-manifold constraints for inverse problems.,correction term analysis and empirical validation; not a standalone hard feasibility guarantee.,manifold correction during sampling.,"simple to attach, but feasibility depends on the base solver and correction quality."
gao2026terminally,terminally constrained flow guidance.,TOCFlow terminal optimal control.,terminal constraints/manifold constraints.,"optimal-control analysis; as penalty vanishes, the terminal law approaches a generalized Wasserstein projection onto the constraint manifold.",sampling-time control/guidance computation.,adds optimal-control guidance cost and relies on terminal constraint geometry.
graikos2025fast,fast training-free constrained diffusion sampling.,fast constrained sampling.,"arbitrary constraints in the paper's inference framework, including linear and nonlinear examples.",optimization-style correction; first-pass evidence does not support an exact hard feasibility claim for all constraints.,sampling-time correction iterations.,"faster than denoiser-backprop approaches, but correction accuracy and constraint satisfaction remain task-dependent."
jayaram2025linearly,linearly constrained DDIM.,CDIM constrained update.,linear output constraints or residual-distribution constraints for noisy inverse problems.,constrained DDIM update construction.,CDIM sampling updates.,scope is linear inverse constraints; broader validity depends on reducing the problem to this structure.
jeon2025fast,landing-based constrained Langevin sampler.,OLLA constrained Langevin.,nonlinear equality and inequality constraints.,exponential convergence in 2-Wasserstein distance under stated regularity assumptions.,landing-based Langevin sampler.,rigorous guarantees require the paper's regularity assumptions and sampler discretization choices.
liu2023learning,constrained-domain diffusion bridge.,constrained diffusion bridge.,"bounded, unbounded, continuous, discrete, categorical, ordinal, and product-domain constraints in the paper's stated scope.",bridge construction with domain-enforcing singular force.,constrained diffusion bridge sampler.,broad domain support depends on constructing the appropriate bridge forces for the target domain.
nordenhog2025score,score-based constrained Langevin diffusion.,specular reflected Langevin.,domain boundary constraints.,reflected Langevin dynamics and boundary-condition analysis.,constrained Langevin sampler with boundary handling.,requires boundary-condition modeling and specialized numerical sampling.
utkarsh2025physicsconstrained,physics-constrained flow matching.,PCFM physics correction.,arbitrary nonlinear physical constraints in the paper's stated scope.,physics-based correction step applied during sampling.,correction during flow-matching sampling.,"zero-shot and flexible, but correction cost and exactness depend on the physical constraint evaluator."
yang2026safeflowmatcher,safe flow-matching planner.,SafeFlowMatcher CBF correction.,control barrier function safety constraints for planning.,barrier certificate proving forward invariance of a robust safe set and finite-time convergence.,CBF-QP correction after flow prediction.,provides certification for executed paths but adds a correction QP and depends on valid CBF/safe-set modeling.
yeom2025softly,softly constrained diffusion denoiser.,softly constrained denoiser.,PDE residual/physics constraints used as soft inductive bias.,architecture-level soft inductive bias.,modified denoiser evaluation.,deliberately avoids strict hard constraints to tolerate model misspecification.
zhang2025improving,few-step inverse diffusion acceleration.,LLE inverse-algorithm extrapolation.,inverse-problem observation constraints handled by the underlying diffusion inverse algorithm.,extrapolation over the base algorithm's approximation structure; not a separate hard feasibility mechanism.,LLE extrapolation on top of an existing inverse sampler.,improves efficiency/performance but inherits feasibility behavior from the underlying inverse algorithm.
li2025deep,constrained generation / guided sampling background.,hard equality embedding.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
lamperski2020projected,constrained generation / guided sampling background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
bubeck2015sampling,constrained generation / guided sampling background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
brosse2017sampling,constrained generation / guided sampling background.,projection/correction.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
hoogeboom2021argmax,constrained generation / guided sampling background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
dieleman2022continuous,constrained generation / guided sampling background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
yu2023freedom,constrained generation / guided sampling background.,training-free guidance.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
schiff2024simple,constrained generation / guided sampling background.,training-free guidance.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
geng2023grammar,constrained generation / guided sampling background.,constrained decoding.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
lu2020neurologic,constrained generation / guided sampling background.,constrained decoding.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Use as sequence/text constrained decoding comparison
miao2018cgmh,constrained generation / guided sampling background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
kumar2022gradient,constrained generation / guided sampling background.,training-free guidance.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
benhamu2024d,constrained generation / guided sampling background.,training-free guidance.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
liu2023flowgrad,constrained generation / guided sampling background.,training-free guidance.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Use as flow-guidance comparison/background
xiao2023safediffuser,constrained generation / guided sampling background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
bansal2023universal,constrained generation / guided sampling background.,training-free guidance.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
giannone2023aligning,constrained generation / guided sampling background.,constraint-aware background.,as stated in the paper; not normalized beyond the source-backed short summary in this batch.,source checked at abstract/first-pages level; mechanism details require follow-up reading for final manuscript claims.,source-specific; needs source-specific detail.,Candidate for Part2 comparison/background
